ifc,bot,beo,fso,props,mep,saref,brick,rec
IfcQuantityArea,,,,hasArea,,,,
IfcQuantityLength,,,,hasLength,,,,
IfcQuantityVolume,,,,hasVolume,,,,
IfcQuantityWeight,,,,hasWeight,,,,
IfcActor,,,,,,,,
IfcOccupant,,,,,,,,
IfcSystem,,,System,,,,System,
IfcDistributionSystem,,,DistributionSystem,,,,System,
IfcDistributionCircuit,,,,,,,Electrical_System,
 IfcZone,Zone,,,,,,,
IfcColumn,Element,Column,,,,,,
IfcCovering,Element,Covering,,,,,,
IfcCurtainWall,Element,CurtainWall,,,,,,
IfcDoor,Element,Door,,,,,,
IfcRoof,Element,Roof,,,,,,
IfcShadingDevice,Element,ShadingDevice,,,,,,
IfcSlab,Element,Slab,,,,,,
IfcStair,Element,Stair,,,,,,
IfcWall,Element,Wall,,,,,,
IfcWindow,Element,Window,,,,,,
 IfcDistributionElement,,,,,DistributionElement,,,
IfcDistributionControlElement,,,,,DistributionControlElement,DistributionControlDevice,,
IfcActuator,Element,,,,Actuator,Actuator,,Actuator
IfcAlarm,Element,,,,Alarm,Alarm,Alarm,
IfcController,Element,,,,Controller,Controller,,
IfcFlowInstrument,Element,,,,FlowInstrument,FlowInstrument,,
IfcProtectiveDeviceTrippingUnit,Element,,,,ProtectiveDeviceTrippingUnit,ProtectiveDeviceTrippingUnit,,
IfcSensor,Element,,,,Sensor,Sensor,Sensor,
IfcUnitaryControlElement,Element,,,,UnitaryControlElement,UnitaryControlElement,Thermostat,
IfcDistributionFlowElement,,,,,DistributionFlowElement,,,
 IfcDistributionChamberElement,,,,,DistributionChamberElement,,,
 IfcEnergyConversionDevice,Element,,EnergyConversionDevice,,EnergyConversionDevice,EnergyConversionDevice,HVAC_Equipment,
IfcAirToAirHeatRecovery,Element,,EnergyConversionDevice,,AirToAirHeatRecovery,saref4bldgAirToAirHeatRecovery,,
 IfcBoiler,Element,,EnergyConversionDevice,,Boiler,Boiler,Boiler,
 IfcBurner,Element,,EnergyConversionDevice,,Burner,Burner,HVAC_Equipment,
IfcChiller,Element,,EnergyConversionDevice,,Chiller,Chiller,Chiller,
IfcCoil,Element,,EnergyConversionDevice,,Coil,Coil,Coil,
IfcCondenser,Element,,EnergyConversionDevice,,Condenser,Condenser,Condenser,
IfcCooledBeam,Element,,EnergyConversionDevice,,CooledBeam,CooledBeam,Chilled_Beam,
IfcCoolingTower,Element,,EnergyConversionDevice,,CoolingTower,CoolingTower,Cooling_Tower,
IfcElectricGenerator,Element,,EnergyConversionDevice,,ElectricGenerator,ElectricGenerator,,
 IfcElectricMotor,Element,,EnergyConversionDevice,, ElectricMotor,ElectricMotor,Motor,
IfcEngine,Element,,EnergyConversionDevice,,Engine,Engine,,
IfcEvaporativeCooler,Element,,EnergyConversionDevice,,EvaporativeCooler,EvaporativeCooler,,
IfcEvaporator,Element,,EnergyConversionDevice,,Evaporator,Evaporator,,
 IfcHeatExchanger,Element,,EnergyConversionDevice,, HeatExchanger,HeatExchanger,Heat_Exchanger,
IfcHumidifier,Element,,EnergyConversionDevice,,Humidifier,Humidifier,Humidifier,
ifcMotorConnection,,,,,MotorConnection,,,
IfcSolarDevice,Element,,EnergyConversionDevice,,SolarDevice,SolarDevice,Solar_Thermal_Collector,
IfcTransformer,Element,,EnergyConversionDevice,,Transformer,Transformer,Transformer,
IfcTubeBundle,Element,,EnergyConversionDevice,,TubeBundle,TubeBundle,,
 IfcUnitaryEquipment,Element,,EnergyConversionDevice,,UnitaryEquipment,,Terminal_Unit,
IfcFlowController,Element,,FlowController,,FlowController,FlowController,HVAC_Equipment,
IfcAirTerminalBox,Element,,FlowController,,AirTerminalBox,,,
IfcDamper,Element,,FlowController,,Damper,Damper,Damper,
IfcDistributionBoard,Element,,FlowController,,DistributionBoard,,,
IfcElectricDistributionBoard,Element,,FlowController,,ElectricDistributionBoard,,Breaker_Panel,
IfcElectricTimeControl,Element,,FlowController,,ElectricTimeControl,ElectricTimeControl,,
IfcFlowMeter,Element,,FlowController,,FlowMeter,FlowMeter,Meter,
IfcProtectiveDevice,Element,,FlowController,,ProtectiveDevice,ProtectiveDevice,,
IfcSwitchingDevice,Element,,FlowController,,SwitchingDevice,SwitchingDevice,Switchgear,
IfcValve,Element,,FlowController,,Valve,Valve,Valve,
IfcFlowFitting,Element,,Fitting,,FlowFitting,,,
 IfcCableCarrierFitting,Element,,Fitting,,CableCarrierFitting,,,
IfcCableFitting,Element,,Fitting,,CableFitting,,,
IfcDuctFitting,Element,,Fitting,,DuctFitting,,,
IfcJunctionBox,Element,,Fitting,,JunctionBox,,,
IfcPipeFitting,Element,,Fitting,,PipeFitting,,,
IfcFlowMovingDevice,Element,,FlowMovingDevice,,FlowMovingDevice,FlowMovingDevice,HVAC_Equipment,
IfcCompressor,Element,,FlowMovingDevice,,Compressor,Compressor,Compressor,
IfcFan,Element,,FlowMovingDevice,,Fan,Fan,Fan,
IfcPump,Element,,FlowMovingDevice,,Pump,Pump,Pump,
IfcFlowSegment,Element,,Segment,,FlowSegment,,,
IfcCableCarrierSegment,Element,,Segment,,CableCarrierSegment,,,
IfcCableSegment,Element,,Segment,,CableSegment,,,
IfcConveyorSegment,Element,,Segment,,ConveyorSegment,,,
IfcDuctSegment,Element,,Segment,,DuctSegment,,,
IfcPipeSegment,Element,,Segment,,PipeSegment,,,
IfcFlowStorageDevice,Element,,StorageDevice,,FlowStorageDevice,FlowStorageDevice,,
IfcElectricFlowStorageDevice,Element,,StorageDevice,,ElectricFlowStorageDevice,ElectricFlowStorageDevice,Energy_Storage,
IfcTank,Element,,StorageDevice,,Tank,Tank,Water_Tank,
IfcFlowTerminal,Element,,Terminal,,FlowTerminal,FlowTerminal,,
IfcAirTerminal,Element,,Terminal,,AirTerminal,,Air_Diffuser,
IfcAudioVisualAppliance,Element,,Terminal,,AudioVisualAppliance,AudioVisualAppliance,,
IfcCommunicationsAppliance,Element,,Terminal,,CommunicationsAppliance,CommunicationAppliance,,
IfcElectricAppliance,Element,,Terminal,,ElectricAppliance,ElectricAppliance,,
IfcFireSuppressionTerminal,Element,,Terminal,,FireSuppressionTerminal,FireSuppressionTerminal,,
IfcLamp,Element,,Terminal,,Lamp,Lamp,Luminaire,
IfcLightFixture,Element,,Terminal,,LightFixture,,Lighting,
IfcLiquidTerminal,Element,,Terminal,,LiquidTerminal,,,
IfcMedicalDevice,Element,,Terminal,,MedicalDevice,MedicalDevice,,
IfcMobileTelecommunicationsAppliance,Element,,Terminal,,MobileTelecommunicationsAppliance,,,
IfcOutlet,Element,,Terminal,,Outlet,Outlet,,
IfcSanitaryTerminal,Element,,Terminal,,SanitaryTerminal,SanitaryTerminal,,
IfcSignal,Element,,Terminal,,Signal,,,
IfcSpaceHeater,Element,,Terminal,,SpaceHeater,SpaceHeater,,
IfcStackTerminal,Element,,Terminal,,StackTerminal,,,
IfcWasteTerminal,Element,,Terminal,,WasteTerminal,,,
IfcFlowTreatmentDevice,Element,,TreatmentDevice,,FlowTreatmentDevice,FlowTreatmentDevice,,
IfcDuctSilencer,Element,,TreatmentDevice,,DuctSilencer,DuctSsilencer,,
IfcElectricFlowTreatmentDevice,Element,,TreatmentDevice,,ElectricFlowTreatmentDevice,,,
IfcFilter,Element,,TreatmentDevice,,Filter,Filter,,
IfcInterceptor,Element,,TreatmentDevice,,Interceptor,Interceptor,,
IfcTransportationDevice,Element,,TreatmentDevice,,TransportationDevice,TransportElement,Elevator,
IfcPort,,,,,Port,,,
IfcDistributionPort,,,,,DistributionPort,,,
IfcBuildingStorey,Storey,,,,BuildingStorey,,,
IfcSite,Site,,,,Site,,,
IfcSpace,Space,,,,Space,,,
IfcSpatialZone,,,,,SpatialZone,,,
,,,,,,,,
