IfcSystem,,,System,System,\\
IfcBuildingSystem,,,,System,\\
IfcBuildingSystemType,SHADING,,,Shading_System,\\
IfcDistributionSystem,,,DistributionSystem,System,\\
IfcDistributionSystem,AIRCONDITIONING,,DistributionSystem,Air_System,\\
IfcDistributionSystem,CHILLEDWATER,,DistributionSystem,Chilled_Water_System,\\
IfcDistributionSystem,CONDENSERWATER,,DistributionSystem,Condenser_Water_System,\\
IfcDistributionSystem,DOMESTICHOTWATER,,DistributionSystem,Domestic_Hot_Water_System,\\
IfcDistributionSystem,ELECTRICAL,,DistributionSystem,Electrical_System,\\
IfcDistributionSystem,FIREPROTECTION,,DistributionSystem,Fire_Safety_System,\\
IfcDistributionSystem,GAS,,DistributionSystem,Gas_System,\\
IfcDistributionSystem,HEATING,,DistributionSystem,HVAC_System,\\
IfcDistributionSystem,LIGHTING,,DistributionSystem,Lighting_System,\\
IfcDistributionSystem,POWERGENERATION,,DistributionSystem,Energy_Generation_System,\\
IfcDistributionSystem,SECURITY,,DistributionSystem,Safety_System,\\
IfcDistributionSystem,VENTILATION,,DistributionSystem,Ventilation_Air_System,\\
IfcDistributionSystem,WASTEWATER,,DistributionSystem,Water_System,\\
IfcDistributionSystem,WATERSUPPLY,,DistributionSystem,Water_System,\\
IfcDistributionCircuit,,,DistributionSystem,Electrical_System,\\
IfcFlowInstrument,,Element,,Meter,\\
IfcSensor,,Element,,Sensor,\\
IfcSensorType,CO2SENSOR,Element,,CO2_Sensor,\\
IfcSensorType,CONDUCTANCESENSOR,Element,,Conductivity_Sensor,\\
IfcSensorType,CONTACTSENSOR,Element,,Contact_Sensor,\\
IfcSensorType,COSENSOR,Element,,CO_Sensor,\\
IfcSensorType,FIRESENSOR,Element,,Fire_Sensor,\\
IfcSensorType,FLOWSENSOR,Element,,Flow_Sensor,\\
IfcSensorType,FROSTSENSOR,Element,,Frost_Sensor,\\
IfcSensorType,GASSENSOR,Element,,Gas_Sensor,\\
IfcSensorType,HEATSENSOR,Element,,Heat_Sensor,\\
IfcSensorType,HUMIDITYSENSOR,Element,,Humidity_Sensor,\\
IfcSensorType,LIGHTSENSOR,Element,,Luminance_Sensor,\\
IfcSensorType,MOVEMENTSENSOR,Element,,Motion_Sensor,\\
IfcSensorType,PRESSURESENSOR,Element,,Pressure_Sensor,\\
IfcSensorType,RADIATIONSENSOR,Element,,Solar_Radiance_Sensor,\\
IfcSensorType,RAINSENSOR,Element,,Rain_Sensor,\\
IfcSensorType,TEMPERATURESENSOR,Element,,Temperature_Sensor,\\
IfcUnitaryControlElement,,Element,,Thermostat,\\
IfcUnitaryControlElementTypr,THERMOSTAT,Element,,Thermostat,\\
IfcEnergyConversionDevice,,Element,EnergyConversionDevice,Equipment,\\
IfcAirToAirHeatRecovery,,Element,EnergyConversionDevice,Heat_Wheel,\\
IfcBoiler,,Element,EnergyConversionDevice,Boiler,\\
IfcChiller ,AIRCOOLED,Element,EnergyConversionDevice,Chiller,\\
IfcCoil,,Element,EnergyConversionDevice,Coil,\\
IfcCoilType,DXCOOLINGCOIL,Element,EnergyConversionDevice,Cooling_Coil,\\
IfcCoilType,ELECTRICHEATINGCOIL,Element,EnergyConversionDevice,Heating_Coil,\\
IfcCoilType,GASHEATINGCOIL,Element,EnergyConversionDevice,Heating_Coil,\\
IfcCoilType,HYDRONICCOIL,Element,EnergyConversionDevice,Cooling_Coil,\\
IfcCoilType,STEAMHEATINGCOIL,Element,EnergyConversionDevice,Heating_Coil,\\
IfcCoilType,WATERCOOLINGCOIL,Element,EnergyConversionDevice,Chilled_Water_Coil,\\
IfcCoilType,WATERHEATINGCOIL,Element,EnergyConversionDevice,Hot_Water_Coil,\\
IfcCondenser,,Element,EnergyConversionDevice,Condenser,\\
IfcCooledBeam,,Element,EnergyConversionDevice,Chilled_Beam,\\
IfcCooledBeamType,ACTIVE,Element,EnergyConversionDevice,Active_Chilled_Beam,\\
IfcCooledBeamType,PASSIVE,Element,EnergyConversionDevice,Passive_Chilled_Beam,\\
IfcCoolingTower,,Element,EnergyConversionDevice,Cooling_Tower,\\
IfcHeatExchanger,,Element,EnergyConversionDevice,Heat_Exchanger,\\
IfcHumidifier,,Element,EnergyConversionDevice,Humidifier,\\
IfcSolarDevice,,Element,EnergyConversionDevice,PV_Panel,\\
IfcSolarDeviceType,SOLARCOLLECTOR,Element,EnergyConversionDevice,Solar_Thermal_Collector,\\
IfcSolarDeviceType,SOLARPANEL,Element,EnergyConversionDevice,PVT_Panel,\\
IfcTransformer,,Element,EnergyConversionDevice,Transformer,\\
IfcUnitaryEquipment,,Element,EnergyConversionDevice,Terminal_Unit,\\
IfcUnitaryEquipmentType,AIRHANDLER,Element,EnergyConversionDevice,AHU,\\
IfcUnitaryEquipmentType,ROOFTOPUNIT,Element,EnergyConversionDevice,RTU,\\
IfcAirTerminalBox,,Element,FlowController,Terminal_Unit,\\
IfcAirTerminalBoxType,CONSTANTFLOW,Element,FlowController,CAV,\\
IfcAirTerminalBoxType,VARIABLEFLOWPRESSUREDEPENDANT,Element,FlowController,VAV,\\
IfcAirTerminalBox,VARIABLEFLOWPRESSUREINDEPENDANT,Element,FlowController,VAV,\\
IfcDamper,,Element,FlowController,Damper,\\
IfcDamperType,RELIEFDAMPER,Element,FlowController,Relief_Damper,\\
IfcDistributionBoard,,Element,FlowController,Electrical_Equipment,\\
IfcDistributionBoardType,MOTORCONTROLCENTRE,Element,FlowController,Motor_Control_Center,\\
IfcDistributionBoardType,SWITCHBOARD,Element,FlowController,Switchgear,\\
IfcFlowMeter,,Element,FlowController,Meter,\\
IfcFlowMeterType,ENERGYMETER,Element,FlowController,Electrical Meter,\\
IfcFlowMeterType,GASMETER,Element,FlowController,Gas_Meter,\\
IfcFlowMeterType,WATERMETER,Element,FlowController,Water_Meter,\\
IfcSwitchingDevice,,Element,FlowController,Disconnect_Switch,\\
IfcValve,,Element,FlowController,Valve,\\
IfcCompressor,,Element,FlowMovingDevice,Compressor,\\
IfcFan,,Element,FlowMovingDevice,Fan,\\
IfcElectricFlowStorageDevice,,Element,StorageDevice,Energy_Storage,\\
IfcElectricFlowStorageDeviceType,BATTERY,Element,StorageDevice,Battery,\\
IfcTank,,Element,StorageDevice,Water_Tank,\\
IfcFlowTerminal,,Element,Terminal,Air_Diffuser,\\
IfcLamp,,Element,Terminal,Lighting,\\
IfcLightFixture,,Element,Terminal,Lighting,\\
IfcSpaceHeater,,Element,Terminal,Space_Heater,\\
IfcSpaceHeaterType,RADIATOR,Element,Terminal,Radiator,\\
IfcFilter,,Element,TreatmentDevice,Filter,\\
IfcBuildingStorey,,Storey,,Storey,\\
IfcSite,,Site,,Site,\\
IfcSpace,,Space,,Space,\\
IfcSpaceType,PARKING,Space,,Parking_Space,\\
IfcSpatialZone,,Zone,,Zone,\\
IfcSpatialZoneType,LIGHTING,Zone,,Lighting_Zone,\\
IfcZone,,Zone,,Zone,\\
